study,species,stress,tissue,sequence,who's in charge,path to candidate genes,CDS.fa
Li et al. 2021,Triticum aestivum,waterlogging,root tips,RNA,Sheng-Kai,output/candidateGenes/Tae_waterlogging_Li_2021,Triticum_aestivum.IWGSC.cds.all.fa.gz
Shen et al. 2020,Triticum aestivum,waterlogging,coleoptile,RNA,Sheng-Kai,output/candidateGenes/Tae_waterlogging_Shen_2020,Triticum_aestivum.IWGSC.cds.all.fa.gz
Wei et al. 2021,Triticum aestivum,waterlogging,flag leaf,RNA,Sheng-Kai,output/candidateGenes/Tae_waterlogging_Wei_2021,
Oren et al,Tripsacum dactyloides,cold,rhizome,Protein,Elad,output/candidateGenes/Td-FL_v1.0_rhizome_DAPs.list,Td.cds.fa.gz
Yang et al. 2024,Triticum turgidum L.,drought,roots,RNA,Yun Luo,output/candidateGenes/Ttu_drought_Yang_2024,Triticum_dicoccoides.WEWSeq_v.1.0.cds.all.fa.gz
Zeng et al. 2009,Zea mays,drought,leaf,Microarray,Sheng-Kai,output/candidateGenes/Zma_drought_Zeng_2009,Zea_mays_v5_mrna.fa.gz
Frey et al. 2015,Zea mays,heat,leaf,RNA,Sheng-Kai,output/candidateGenes/Zma_heat_Frey_2015,Zea_mays.AGPv3.22.cdna.all.fa.gz
Xue et al. 2024,Zea mays,heat,leaf,RNA,Sheng-Kai,output/candidateGenes/Zma_heat_Xue_2024,Zm-B73-REFERENCE-GRAMENE-4.0_Zm00001d.2.cds.fa.gz
Campbell et al. 2015,Zea mays,waterlogging,shoots,RNA,Sheng-Kai,output/candidateGenes/Zma_submergence_Campbell_2015,ZmB73_5a.59_working.cds.fa.gz
Yao 2021,Zea mays,waterlogging,leaf,RNA,Sheng-Kai,output/candidateGenes/Zma_waterlogging_Yao_2021,Zm-B73-REFERENCE-GRAMENE-4.0_Zm00001d.2.cds.fa.gz
Meng et al. 2021,Zea mays,cold,shoots,RNA,Charlie,output/candidateGenes/Zmays_493_V4_coldDEGs.txt,Zm-B73-REFERENCE-GRAMENE-4.0_Zm00001d.2.cds.fa.gz
